item_id,user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image,image_top_1,deal_probability
Лампа энергосбер 1шт/,,,,,,,,,,,,,,,,,
2c69da2983c6,1d7599a7d48e,Алтайский край,Барнаул,Бытовая электроника,Телефоны,Аксессуары,Аккумуляторы,,Акб HTC B0PJX100 (One E9+/Desire 728 Dual),На все модели телефонов!!!!!!/,,,,,,,
d94f1fad7fb6,2b3724652a4d,Ростовская область,Новочеркасск,Для бизнеса,Оборудование для бизнеса,Для магазина,,,Светодиодные экраны,"Изготовление светодиодных экранов и бегущих строк, любой сложности по доступным ценам.",2000.0,9,2017-03-21,Private,c49899b2e9590f5c2cdc030440738182dc489f9500421b780f71d4ade7090715,1177.0,0.08523
393ac9d83385,b28f7c79e097,Воронежская область,Воронеж,Бытовая электроника,Телефоны,Аксессуары,Чехлы и плёнки,,Защитное стекло Asus Zenfone 3 Max ZC520TL,Защитное стекло Asus Zenfone 3 Max ZC520TL/,,,,,,,
e4a00165d9ab,df09ea1941a4,Татарстан,Казань,Транспорт,Автомобили,С пробегом,Toyota,Land Cruiser,"Toyota Land Cruiser, 2011","Тойота ЛК200, состояние идеальное, дополнительно к полной комплектации подогрев руля! + обвес, фаркоп, зимняя резина хака7, жалко продавать, обстоятельства вынуждают! Автомобиль начальника сервисного центра Тойота- делайте из этого выводы о его состоянии.",2300000.0,36,2017-03-17,Private,df045217914462846ebf8a8bfd99658b1daf4e84e4fbfd350c092fa3b76d6c66,1118.0,0.46455
"Подробнее о других кукол из распродажи по ватс ап либо могу скинуть ссылку в vk.\"",1650.0,1543,2017-03-26,Company,bcf4c0eb8103603efbf88e59e53a38a7657ecbd2fbc7737bda51493f0007ee7e,875.0,0.0,,,,,,,,,,
de0b7dd92dd8,aa4d52e926ad,Татарстан,Казань,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Джинсы,27,Джинсы Котон 27 размера на 42-44 размер,В хорошем Состояние.,300.0,93,2017-03-24,Private,66114bd22ddc1ab50a7c483913217134e54d85093e3c7735bfa5413215fea239,567.0,0.0
aa8bc1dd2d60,0ee04cce6a6c,Башкортостан,Уфа,Услуги,Предложение услуг,"Обучение, курсы",,,Английский и французский языки - репетитор,"Английский и французский с нуля и до хорошего разговорного уровня. Грамматика, разговорный язык, аудирование, фонетика. Занимаюсь с учениками любого уровня, имею многолетний опыт работы. Подготовлю к российским и международным экзаменам (ЕГЭ, IELTS, TOEFL, DELF, DALF). Увлекательная методика, невысокие цены! Возможен выезд!",,44,2017-03-24,Private,e33ba77d37f04a7539bc33545771493cab0392d10c905cdb7af25b4d1064180d,2266.0,0.75
75bfa3b85267,0fb4ff4cba4d,Калининградская область,Калининград,Личные вещи,Детская одежда и обувь,Для мальчиков,Обувь,20,Сандали,В идеальном состоянии,400.0,88,2017-03-27,Private,17cdf9a1c72d6e1466e6a17fa7b280208d1a4a7770f19e6124e248d618bd61ea,44.0,0.0
1013e51eb621,cd686a3ea333,Башкортостан,Стерлитамак,Услуги,Предложение услуг,"Обучение, курсы",,,"\"\"\"Учебный центр\"\"\"","Учебный центр проводит обучение в очной и заочной форме обучения по рабочим профессиям. Квалифицированные преподаватели, короткие сроки, самые дешевые цены в Стерлитамаке.",3750.0,8,2017-03-28,Private,dba8822b5b94f814e1476352b2ea574eb8a86cbd9e8ce5dc5c6304d3f2d61b93,2424.0,0.75
Компрессионный мешок в комплекте. /,,,,,,,,,,,,,,,,,
5c06d09ad37f,b44fd67e97ba,Волгоградская область,Камышин,Бытовая электроника,Оргтехника и расходники,Расходные материалы,Блоки питания и батареи,,Аккумулятор samsung 18650 с защитой новые,Аккумулятор samsung 18650 с защитой. новые. цена за шт.  3й мкр,270.0,254,2017-03-26,Company,f01e57744e6415f38d6ec0c3df6f21e95fe8865da020c5b23e8495890168e185,2785.0,0.0
9279105edaf8,bfc7b0de8700,Оренбургская область,Новотроицк,Недвижимость,Коммерческая недвижимость,Сдам,Помещение свободного назначения,,Сдам помещение в центре Новотроицка 45м2 на1 линии,"Сдам помещение в центре Новотроицка с отдельным входом на 1-ой линии. Новый качественный ремонт. светодиодное освещение, кондиционирование, охрана, интернет.",36000.0,193,2017-03-15,Company,a50ac1fa5d979aeb63eb07ede63d4206eff135e165141bf84fe6801fc21506f6,1177.0,0.04694
87f17827e1ef,49aaa6987478,Татарстан,Казань,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,Туфли юничел,Туфли натуральная кожа.бренд юничел.немного б/у.состояние отличное.цвет светло серый.проклееные.прошитые.,650.0,59,2017-03-24,Company,08b8203cecb7ce22b309f45a66086dc69d1227287d15211e891fe38972d33a41,418.0,0.0
bca20732938d,fb58856e3586,Самарская область,Тольятти,Бытовая электроника,Фототехника,Компактные фотоаппараты,,,Продам фотоаппарат Samsung zoom lens. Покупал год,Покупал год назад за 3100. Не пользуюсь из-за ненадобности. Около 7 месяцев назад потерял зарядник и не пользовался им. Фотоаппарат без зарядки.,2300.0,4,2017-03-18,Private,9102060f8a9830d1bdb883d356a6d143439f6d6cb726ebe52abc2ea75363b27b,2999.0,0.0
Размер люльки (ШxД)/,,,,,,,,,,,,,,,,,
d3b978a6d58e,8c2412d447b9,Башкортостан,Уфа,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,46–48 (L),Платье деловой стиль,"\"Платье с принтом \"\"гусиная лапка\"\" в отличном состоянии","б/у. Не требует глажки.\"",1000.0,29,2017-03-18,Private,76b7c6c65f7561dbecc9d4457dc1bdc9a3d1673e220bbed62d9ef6f42dcb4ff3,404.0
"ПОДРОБНОСТИ ПО ТЕЛЕФОНУ!!!\"",250000.0,1,2017-03-19,Private,1bb24454ae43a68f006102dbad2775c1c59987983672652d81ae486321a5a2e5,1308.0,0.0,,,,,,,,,,
==============/,,,,,,,,,,,,,,,,,
Основная камера (mpix) /,,,,,,,,,,,,,,,,,
342b55e1362c,654df98ea78e,Владимирская область,Владимир,Личные вещи,Красота и здоровье,Парфюмерия,,,Cerruti 1881,Целые. Доброе или пл.ленина,1500.0,28,2017-03-21,Private,11aeb2b65c42f8a944c126d696e78a461038662a4cd7b8ee3a625b5dbb6f83b5,771.0,0.0
- Электрорегулировка водительского и пассажирского сидений в 8 направлениях/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
- Отсутствуют двойные ремни безопасности./,,,,,,,,,,,,,,,,,
fdfa4b26bb4f,8282db9e94a4,Татарстан,Альметьевск,Транспорт,Автомобили,С пробегом,Hyundai,Getz,"Hyundai Getz, 2010","Езжу каждый день, все вовремя менялось. Продаю так, как нужен авто побольше. Резина 1 сезон. Красил бампер и порог. Торг у авто. САЛОНАМ НЕ БЕСПОКОИТЬ!",299000.0,4,2017-03-15,Private,d5f130335a755a356a78f098697b8aaedc1f5cfc7565eb7c9d4b35c2b305384e,1102.0,0.12548
С водительской стороны на заднем крыле есть вмятина,так же с другой стороны есть у крышки багажника тоже,но там только краска отошла в остальном по салону все хорошо есть передние стеклоподъемники,магнитола и 4 блина пионер./,,,,,,,,,,,,,,
54167b3abda5,b3920de41a51,Волгоградская область,Волгоград,Хобби и отдых,Коллекционирование,Другое,,,Икона,1895 года фабричная,20000.0,20,2017-03-22,Company,918a78055a8b3c63a187dc801dde58b127319923bd55f0766f2aecc54fa5d2f5,1559.0,0.0
==============================================================/,,,,,,,,,,,,,,,,,
- Рецензии/,,,,,,,,,,,,,,,,,
dc33b95cee8a,19f4c01d0592,Кемеровская область,Кемерово,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Обувь,36,Сапожки летние,Производство Италия. Очень мягкие и удобные! Широкая голяшка мягко собирается внизу.,7000.0,16,2017-03-25,Private,544e6ad3f4055a29ab25b3b07918e9f5acbfb2e71d776d34f628fbec902580cc,444.0,0.0
