item_id,user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image,image_top_1,deal_probability
☺ дуга с игрушками снимается для удобства кормления ребенка /,,,,,,,,,,,,,,,,,
"телефонной линии. Возможен обмен.\"",500.0,116,2017-03-27,Private,bea0e2d1648ea110ebf130340da150fce751e2a7f509bb2b20f1d5647dce9164,2938.0,0.0,,,,,,,,,,
Оптовым покупателям скидки!!!/,,,,,,,,,,,,,,,,,
cf4c817c7c85,3f91ef5e1e27,Кемеровская область,Кемерово,Для дома и дачи,Бытовая техника,Для дома,Стиральные машины,,Ariston,Продам стиральную машинку аристон в хорошем тех состоянии. Возможен небольшой торг.,10000.0,70,2017-03-17,Company,da8173f375b9489daf51e39d74c1337aba914f178b2a8c38434cf0e7892614f8,1986.0,0.3851
__________________________________________________________________/,,,,,,,,,,,,,,,,,
Доставка по всей России транспортными компаниями./,,,,,,,,,,,,,,,,,
Габаритные размеры	не более 205х115х30 мм/,,,,,,,,,,,,,,,,,
21938660248c,bc2cc372bc04,Свердловская область,Екатеринбург,Личные вещи,Детская одежда и обувь,Для девочек,Верхняя одежда,62-68 см (2-6 мес),Демисезонный конверт и флисовый комбинезон,Конверт Дисней 62см. Немного больше заявленного размера. Рукава с отворотами. Почти не носили. /,,,,,,,
338269ff077d,ce22ed1c80bb,Ростовская область,Шахты,Личные вещи,Товары для детей и игрушки,Товары для кормления,,,Молокоотсос,Продам моллкоотсос. Работает от сети. Очень удобный. В комплекте бутылочка с соской. И прокладки для груди. Три скорости работы.,2000.0,14,2017-03-17,Private,e7e85953a77379e3f9ee969a595b4ddeabdd38b69db7ffc5c4df65ca6602e050,815.0,0.0
САМЫЕ КАЧЕСТВЕННЫЕ материалы?/,,,,,,,,,,,,,,,,,
Задняя камера 13.0MP /,,,,,,,,,,,,,,,,,
Вопросы в Viber или по звонку,"здесь не отслеживаю\"",500.0,230,2017-03-22,Private,ea4491fcc8654c01375a437e4c406553e4d85b6d637e12aec7afd579dc5226f2,771.0,0.0,,,,,,,,,
0cf6e5b0e80b,beb9395ad1ce,Татарстан,Казань,Личные вещи,Товары для детей и игрушки,Велосипеды и самокаты,,,Продажа велосипеда,Продается велосипед,,8,2017-03-28,Private,6d42123cedae99a91907560d0ff1fb251bdc24b10ff6d6647c6273e666f642ae,2370.0,0.0
Режим работы офиса:/,,,,,,,,,,,,,,,,,
44ea41ed8d9d,4ebd93a74b86,Ставропольский край,Ставрополь,Животные,Аквариум,,,,Черепашник,10 литровый. Почти новый.,380.0,351,2017-03-17,Company,d63e67e457fe55f658926dbdc8a4ee3c860d4465c9ce10874cd18b5b080aebf6,2173.0,0.0
— Максимальная надежность. Девайс снабжен высокопрочным корпусом с резиновыми уплотнениями. Благодаря этому он выдерживает работу при высокой влажности и запыленности воздуха,"а также переносит удары и падения с небольшой высоты без существенных повреждений.\"",205000.0,4752,2017-03-23,Company,9e84909c098e86229ce8bd8ac6f86b447f88edab72bc39b8197f8755e540522c,2997.0,0.0,,,,,,,,,
Проведен интернет./,,,,,,,,,,,,,,,,,
ce22056ed026,6385d096fac6,Красноярский край,Канск,Для дома и дачи,Ремонт и строительство,Сантехника и сауна,,,Колеса Белаз для септиков,продам колеса от Белазов для септиков,500.0,4,2017-03-15,Private,,,0.38925
Площадь помещения 193,7  м2/,,,,,,,,,,,,,,,,
– многофункциональность и эффективность;/,,,,,,,,,,,,,,,,,
Имеются ящики,полочки и прочая приблуда для подобного сооружения/,,,,,,,,,,,,,,,,
"Покупала за 5500\"",3200.0,22,2017-03-19,Private,47eadc834a4f0b65440d94f8927e08c1dac5a8a1f68b2a72ece738063d1cd510,499.0,0.0,,,,,,,,,,
285793a09054,1ab1d66adf80,Калининградская область,Калининград,Животные,Аквариум,,,,Фильтр внешний Hagen fluval 404 1300л/ч до 400л,Изготовитель - «Hagen» (Канада)/,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,
