item_id,activation_date,date_from,date_to
d1fda5586f19,2017-03-06,2017-03-15,2017-03-28
f1efb0f77cb3,2017-03-17,2017-03-17,2017-03-28
98f6c2a135ea,2017-03-16,2017-03-16,2017-03-19
0bac237eff80,2017-03-08,2017-03-15,2017-03-28
dd2d0cadd1dd,2017-02-21,2017-03-15,2017-03-22
92a37a555b41,2017-02-20,2017-03-15,2017-03-22
c1ad15bfd27f,2017-02-15,2017-03-15,2017-03-17
c5c27a3d0f68,2017-03-28,2017-03-28,2017-03-28
8d3e4b2fb46a,2017-03-20,2017-03-20,2017-03-28
12ec26bf6be5,2017-03-28,2017-03-28,2017-03-28
afc5cc3bf915,2017-03-01,2017-03-15,2017-03-28
7980e9810d27,2017-02-24,2017-03-15,2017-03-26
229fd3da1579,2017-02-14,2017-03-15,2017-03-16
90e828cc1c78,2017-02-14,2017-03-15,2017-03-16
744c7e3d383a,2017-03-03,2017-03-15,2017-03-28
51044d003377,2017-03-13,2017-03-15,2017-03-28
0df4746d77d7,2017-02-20,2017-03-15,2017-03-21
da0f3c47f07d,2017-02-15,2017-03-15,2017-03-17
4879d067f383,2017-03-14,2017-03-15,2017-03-28
7675a111cc5e,2017-02-25,2017-03-15,2017-03-27
084a758b2346,2017-02-17,2017-03-15,2017-03-19
03006fb55731,2017-03-07,2017-03-15,2017-03-28
d640a5bac186,2017-02-20,2017-03-15,2017-03-21
e6bda3254608,2017-03-17,2017-03-17,2017-03-28
fc0db38e35bd,2017-03-01,2017-03-15,2017-03-28
24f96d4bd079,2017-03-11,2017-03-15,2017-03-28
a08778662b13,2017-03-02,2017-03-15,2017-03-28
c69afbd3076a,2017-03-23,2017-03-23,2017-03-28
2599b8842af0,2017-03-25,2017-03-25,2017-03-28
68596de7f686,2017-03-12,2017-03-15,2017-03-28
5cc1d7e31877,2017-03-27,2017-03-27,2017-03-28
d54e746f6ffd,2017-03-06,2017-03-15,2017-03-28
5b2e6bcad070,2017-03-07,2017-03-15,2017-03-28
071e9d187152,2017-03-05,2017-03-15,2017-03-28
9cb672a69664,2017-02-19,2017-03-15,2017-03-20
15b334812a7d,2017-02-15,2017-03-15,2017-03-16
994e865b94b5,2017-02-27,2017-03-15,2017-03-28
32061bbca0f5,2017-03-23,2017-03-23,2017-03-28
734e4ec74911,2017-03-05,2017-03-15,2017-03-28
34f3e284d46d,2017-03-04,2017-03-15,2017-03-28
ab26cc44a367,2017-03-05,2017-03-15,2017-03-28
a5712126b4a8,2017-03-15,2017-03-15,2017-03-28
dd4cf9502c41,2017-02-15,2017-03-15,2017-03-16
078a8e5b232b,2017-03-12,2017-03-15,2017-03-28
f9c812e86b8e,2017-02-19,2017-03-15,2017-03-20
f6b7cd52f1a5,2017-02-26,2017-03-15,2017-03-28
f880e2d8f549,2017-03-21,2017-03-21,2017-03-28
a31bfd622354,2017-03-20,2017-03-20,2017-03-28
e59397ffc887,2017-03-02,2017-03-15,2017-03-28
9a5eb6a372f2,2017-03-22,2017-03-22,2017-03-28
c7e69b6e5aa0,2017-03-20,2017-03-20,2017-03-28
24757222a25c,2017-03-14,2017-03-15,2017-03-28
cc1a9ff78845,2017-03-21,2017-03-21,2017-03-28
40a84472aa0d,2017-02-21,2017-03-15,2017-03-22
a12491b16b88,2017-02-18,2017-03-15,2017-03-16
65dd20b9abe2,2017-03-05,2017-03-15,2017-03-18
5afb5cb432d4,2017-03-24,2017-03-24,2017-03-28
0ce4114237bf,2017-02-14,2017-03-15,2017-03-16
511799a160a1,2017-03-11,2017-03-15,2017-03-18
82db9d10b79a,2017-02-24,2017-03-15,2017-03-26
c0e63e364cb9,2017-03-13,2017-03-15,2017-03-28
bda1faf5eda0,2017-03-03,2017-03-15,2017-03-28
3a1143343523,2017-03-07,2017-03-15,2017-03-28
68648e48811f,2017-03-11,2017-03-15,2017-03-28
0cb7ab5332f9,2017-02-14,2017-03-15,2017-03-16
79543feeb5ab,2017-03-15,2017-03-15,2017-03-28
bc0af7cf5b38,2017-03-07,2017-03-15,2017-03-28
aeceb3e2c5eb,2017-03-27,2017-03-27,2017-03-28
343fbbad1845,2017-02-23,2017-03-15,2017-03-25
ecd7ef18515b,2017-02-15,2017-03-15,2017-03-17
2cb4d7ec249b,2017-03-26,2017-03-26,2017-03-28
00cd91539766,2017-03-26,2017-03-26,2017-03-28
d8f50664f1bc,2017-02-16,2017-03-15,2017-03-18
4d6e1380ab8b,2017-03-16,2017-03-16,2017-03-27
333c472a1383,2017-03-21,2017-03-21,2017-03-28
8b0751235d76,2017-03-08,2017-03-15,2017-03-28
4f17488dd519,2017-03-15,2017-03-15,2017-03-28
65fb9ee61dee,2017-03-16,2017-03-16,2017-03-28
15c4829b4e4a,2017-02-20,2017-03-15,2017-03-21
c63898657f72,2017-03-11,2017-03-15,2017-03-28
c6bd953e3286,2017-03-18,2017-03-18,2017-03-28
43144e0e3478,2017-02-21,2017-03-15,2017-03-23
f6167a17044b,2017-03-23,2017-03-23,2017-03-28
1f118d8303c7,2017-03-19,2017-03-19,2017-03-28
dbd395981542,2017-03-08,2017-03-15,2017-03-28
1c31603f8c3c,2017-03-02,2017-03-15,2017-03-28
0cd205535a35,2017-02-26,2017-03-15,2017-03-28
ee4d6f298904,2017-03-19,2017-03-19,2017-03-28
2ad4e037f587,2017-03-23,2017-03-23,2017-03-28
2f5e877f4c05,2017-03-16,2017-03-16,2017-03-28
2733fd24d6d0,2017-02-25,2017-03-15,2017-03-27
a7528dac6246,2017-03-27,2017-03-27,2017-03-28
1d05545650e3,2017-03-17,2017-03-17,2017-03-28
a37f328bd422,2017-02-20,2017-03-15,2017-03-21
ca990a7df34a,2017-02-28,2017-03-15,2017-03-28
586abab3c083,2017-03-04,2017-03-15,2017-03-28
9652e6217bc2,2017-02-16,2017-03-15,2017-03-17
fa861ac5ef4e,2017-03-05,2017-03-15,2017-03-28
0067dd88ba19,2017-03-16,2017-03-16,2017-03-28
ba5493747198,2017-03-10,2017-03-15,2017-03-28
1926ec50b3c2,2017-02-16,2017-03-15,2017-03-18
de9d5ed418ca,2017-02-14,2017-03-15,2017-03-16
631c63cfe848,2017-02-14,2017-03-15,2017-03-16
38d041ebda82,2017-03-19,2017-03-19,2017-03-28
c3785c930ba3,,2017-03-15,2017-03-28
c85cd6ddc90a,2017-03-23,2017-03-23,2017-03-28
a6af413ba6f6,2017-02-25,2017-03-15,2017-03-27
403a25c0221f,2017-03-03,2017-03-15,2017-03-28
1740bb6c50c4,2017-03-03,2017-03-15,2017-03-28
ef6a674a0704,2017-03-23,2017-03-23,2017-03-28
0c7f14915e4b,2017-02-15,2017-03-15,2017-03-16
82235e01ad52,2017-03-05,2017-03-15,2017-03-28
0876590568c1,2017-03-07,2017-03-15,2017-03-28
87e3c920d505,2017-02-21,2017-03-15,2017-03-22
d73ab8e9bacb,2017-02-21,2017-03-15,2017-03-22
d75bb5f4f09e,2017-03-08,2017-03-15,2017-03-28
5af548825388,2017-03-22,2017-03-22,2017-03-28
6a07e28ff3c2,2017-02-22,2017-03-15,2017-03-24
5c0913eedf9a,2017-03-23,2017-03-23,2017-03-28
306ac76c8320,2017-03-01,2017-03-15,2017-03-28
4e0297559420,2017-02-22,2017-03-15,2017-03-23
83a543e5cccd,2017-02-24,2017-03-15,2017-03-25
48d336f37ad8,2017-02-18,2017-03-15,2017-03-19
43617f2b9194,2017-02-19,2017-03-15,2017-03-21
eb14a018a89e,2017-02-27,2017-03-15,2017-03-28
d32f4647ce00,2017-03-10,2017-03-15,2017-03-28
923de7cbd5c2,2017-03-06,2017-03-15,2017-03-28
b363bcfba783,2017-03-12,2017-03-15,2017-03-28
025edf15dac4,2017-03-13,2017-03-15,2017-03-28
fa1f98b5e3f6,2017-03-14,2017-03-15,2017-03-28
9e734f25d980,2017-03-14,2017-03-15,2017-03-28
37391a2103d5,2017-02-25,2017-03-15,2017-03-26
f14f6eec27b2,2017-02-23,2017-03-15,2017-03-24
9161d44c31b3,2017-03-02,2017-03-15,2017-03-28
ce0cd9a72691,2017-03-14,2017-03-15,2017-03-28
02d4a0e6c200,2017-02-17,2017-03-15,2017-03-18
1c6e8d04f470,2017-03-16,2017-03-16,2017-03-28
86fd2816db88,2017-03-06,2017-03-15,2017-03-28
54b4aeb09902,2017-02-15,2017-03-15,2017-03-17
92c251351908,2017-03-17,2017-03-17,2017-03-28
7dd1f5b9a999,2017-03-13,2017-03-15,2017-03-28
440315d993f0,2017-02-20,2017-03-15,2017-03-19
341af8bb96b2,2017-02-22,2017-03-15,2017-03-24
84db90499793,2017-03-17,2017-03-17,2017-03-28
3712eee59c92,2017-02-15,2017-03-15,2017-03-17
d5b002b38049,2017-02-22,2017-03-15,2017-03-23
8bedd04dd490,2017-03-25,2017-03-25,2017-03-28
3c82faddde7a,2017-02-19,2017-03-15,2017-03-21
92c17d1b67b6,2017-02-27,2017-03-15,2017-03-28
e14371d8bdeb,2017-02-26,2017-03-15,2017-03-27
aae38087afdc,2017-02-28,2017-03-15,2017-03-28
28d5b33590cf,2017-03-10,2017-03-15,2017-03-28
d8f345c40e19,2017-03-26,2017-03-26,2017-03-28
7a9e4581ffbc,2017-03-27,2017-03-27,2017-03-28
56fb34fedb78,2017-03-02,2017-03-15,2017-03-28
11b90352c945,2017-02-15,2017-03-15,2017-03-17
a5571da1f1b6,2017-03-07,2017-03-15,2017-03-28
c27ae924af70,2017-03-26,2017-03-26,2017-03-28
a4b86fa4b291,2017-03-13,2017-03-15,2017-03-28
1cce66d6d637,2017-03-11,2017-03-15,2017-03-28
7bbdcc51597e,2017-02-14,2017-03-15,2017-03-16
11e9eb09c42e,2017-02-17,2017-03-15,2017-03-19
10773d0e2949,2017-03-16,2017-03-16,2017-03-28
