item_id,activation_date,date_from,date_to
fbba7750a76c,2017-03-13,2017-03-15,2017-03-24
ee738c034032,2017-02-20,2017-03-15,2017-03-22
05806402059f,2017-03-22,2017-03-22,2017-03-28
1e4fbbe24971,2017-03-27,2017-03-27,2017-03-28
27dd69aee7b2,2017-02-23,2017-03-15,2017-03-25
6988d716e406,2017-02-16,2017-03-15,2017-03-18
b59afa06f6b5,2017-03-08,2017-03-15,2017-03-28
6df1c8de0135,2017-03-20,2017-03-20,2017-03-28
7186a6567d66,2017-03-05,2017-03-15,2017-03-28
b74ef5158f05,2017-03-18,2017-03-18,2017-03-28
42b24a907bcb,2017-03-05,2017-03-15,2017-03-28
55c0ad3f0b6d,2017-02-26,2017-03-15,2017-03-28
765d8f7ec616,2017-03-04,2017-03-15,2017-03-28
500be189167a,2017-03-20,2017-03-20,2017-03-28
abb541a1d8b9,2017-02-07,2017-03-15,2017-03-20
db0ddf12ac69,2017-03-26,2017-03-26,2017-03-28
15a0828750df,2017-02-17,2017-03-15,2017-03-19
4b9e35d7dc67,2017-03-28,2017-03-28,2017-03-28
446009b5ad2b,2017-03-20,2017-03-20,2017-03-28
e1411df89f7b,2017-03-13,2017-03-15,2017-03-28
d6d078e0fe12,2017-03-21,2017-03-21,2017-03-28
329a37edca6d,2017-03-18,2017-03-18,2017-03-28
0d78a041dc6b,2017-03-28,2017-03-28,2017-03-28
bfa0159d7fb5,2017-03-07,2017-03-15,2017-03-28
53a0b5359232,2017-02-19,2017-03-15,2017-03-21
4d65649e8c90,2017-02-27,2017-03-15,2017-03-28
77e95e919b16,2017-03-18,2017-03-18,2017-03-27
cab0259caded,2017-03-16,2017-03-16,2017-03-28
4b1ec734b83f,2017-03-15,2017-03-15,2017-03-28
ca8ade913444,2017-03-14,2017-03-15,2017-03-28
debd1b2d00ae,2017-03-14,2017-03-15,2017-03-28
c1ca655c6604,2017-03-18,2017-03-18,2017-03-28
c0a8d60b0600,2017-02-27,2017-03-15,2017-03-28
ea32d0ff0952,2017-03-01,2017-03-15,2017-03-28
580b365d14af,2017-03-09,2017-03-15,2017-03-28
11ec4d945cbf,2017-03-07,2017-03-15,2017-03-28
c4569e2d7b93,2017-03-13,2017-03-15,2017-03-28
a899f97a14ac,2017-03-04,2017-03-15,2017-03-28
763f786ce105,2017-03-23,2017-03-23,2017-03-23
40b7a29395a1,2017-02-21,2017-03-15,2017-03-23
1935ed9b497b,2017-03-02,2017-03-15,2017-03-28
61d2791d6ff3,2017-03-05,2017-03-15,2017-03-28
9442a45f6b8e,2017-03-02,2017-03-15,2017-03-24
3971b0352e70,2017-03-14,2017-03-15,2017-03-22
f2f805b8c9ba,2017-02-21,2017-03-15,2017-03-23
b157d63d138e,2017-02-20,2017-03-15,2017-03-22
5a11f9b5fd72,2017-03-27,2017-03-27,2017-03-28
