item_id,activation_date,date_from,date_to
87b7a928b0fb,2017-03-21,2017-03-21,2017-03-28
e766cf5d4721,2017-02-23,2017-03-15,2017-03-24
2d9f80542734,2017-03-10,2017-03-15,2017-03-28
c3254c853d7e,2017-03-25,2017-03-25,2017-03-28
d50a984ca2ab,2017-02-25,2017-03-15,2017-03-27
5119d1cca82f,2017-03-28,2017-03-28,2017-03-28
aa4dd6181713,2017-03-17,2017-03-17,2017-03-28
860f4649cbbb,2017-03-09,2017-03-15,2017-03-28
8a9a5552cfa9,2017-02-22,2017-03-15,2017-03-23
3062762bfd12,2017-02-26,2017-03-15,2017-03-28
488998b8acbe,2017-02-22,2017-03-15,2017-03-24
4d59b6b2aa2f,2017-03-02,2017-03-15,2017-03-28
c72280073ed1,2017-03-19,2017-03-19,2017-03-28
153985094c88,2017-03-05,2017-03-15,2017-03-28
87ee8c173174,2017-03-01,2017-03-15,2017-03-28
b6653d428ba0,2017-03-05,2017-03-15,2017-03-28
219bec23d69b,2017-03-02,2017-03-15,2017-03-28
f2d74ae99900,2017-03-08,2017-03-15,2017-03-28
c78b420757ac,2017-03-26,2017-03-26,2017-03-28
dfe4be0704fc,2017-02-27,2017-03-15,2017-03-28
2fea18a917aa,2017-02-18,2017-03-15,2017-03-20
c144fd831c0b,2017-02-13,2017-03-15,2017-03-15
613d02fc6ed5,2017-03-05,2017-03-15,2017-03-28
222ea42c3f45,2017-02-20,2017-03-15,2017-03-21
1b99a61aa680,2017-03-09,2017-03-15,2017-03-28
6c49c4744bda,2017-02-24,2017-03-15,2017-03-26
638b6e9785db,2017-02-21,2017-03-15,2017-03-23
0268a98c842c,2017-03-21,2017-03-21,2017-03-27
6145ebf5ba8a,2017-02-18,2017-03-15,2017-03-19
d38a82a2e986,2017-03-23,2017-03-23,2017-03-28
521f84f67bb7,2017-02-18,2017-03-15,2017-03-20
0f6f06330b39,2017-03-16,2017-03-16,2017-03-28
598411914393,2017-03-04,2017-03-15,2017-03-28
2f2c0aeb3d8c,2017-02-19,2017-03-15,2017-03-21
13f0a6a0b290,2017-02-22,2017-03-15,2017-03-24
c21542656067,2017-02-19,2017-03-15,2017-03-21
577f5f409dd0,2017-03-07,2017-03-15,2017-03-16
69dfee5c6efc,2017-03-09,2017-03-15,2017-03-28
18c14027e28f,2017-03-11,2017-03-15,2017-03-28
2fae880f7082,2017-03-04,2017-03-15,2017-03-28
e22deaf9446e,2017-03-06,2017-03-15,2017-03-28
4fc85622839f,2017-03-26,2017-03-26,2017-03-28
ab668032242d,2017-02-18,2017-03-15,2017-03-19
f29d3a9187b8,2017-02-15,2017-03-15,2017-03-17
8d7f2b421e60,2017-02-20,2017-03-15,2017-03-22
15a321a09535,2017-02-27,2017-03-15,2017-03-28
23e63a611994,2017-02-28,2017-03-15,2017-03-28
0e07ad4936ce,2017-03-10,2017-03-15,2017-03-26
97f3c81456e1,2017-03-13,2017-03-15,2017-03-28
ed451f5e698a,2017-02-23,2017-03-15,2017-03-25
e87bf3643aed,2017-02-21,2017-03-15,2017-03-23
050834f8eb85,2017-03-06,2017-03-15,2017-03-28
b15d090c8f73,2017-02-13,2017-03-15,2017-03-15
53d515892e31,2017-03-15,2017-03-15,2017-03-21
625a56719820,2017-02-22,2017-03-15,2017-03-24
50cbb8b3f317,2017-03-20,2017-03-20,2017-03-28
48df6698e9e3,2017-03-04,2017-03-15,2017-03-28
5e4caae3a7d5,2017-03-07,2017-03-15,2017-03-28
b54227162a1a,2017-02-20,2017-03-15,2017-03-21
ea3e0960a0e3,2017-02-15,2017-03-15,2017-03-17
87e7f3fc88d6,2017-02-16,2017-03-15,2017-03-17
6d80456d4106,2017-03-26,2017-03-26,2017-03-28
4fe2f555fd0d,2017-03-07,2017-03-15,2017-03-28
e567895ea50a,2017-03-22,2017-03-22,2017-03-28
696b8e884a21,2017-03-03,2017-03-15,2017-03-28
5fed3c93bafb,2017-02-14,2017-03-15,2017-03-15
33d05a94b120,2017-02-15,2017-03-15,2017-03-17
b2e6de8e3d69,2017-03-13,2017-03-15,2017-03-28
85d1d2478a1d,2017-02-21,2017-03-15,2017-03-23
c1fa8161040a,2017-02-17,2017-03-15,2017-03-19
c7bc02a8a45e,2017-03-03,2017-03-15,2017-03-19
858bb06d92b7,2017-02-16,2017-03-15,2017-03-18
f81a545392f0,2017-03-26,2017-03-26,2017-03-28
692573486335,2017-03-18,2017-03-18,2017-03-21
c1958cba75ea,2017-03-03,2017-03-15,2017-03-28
c54c5dde49f8,2017-02-19,2017-03-15,2017-03-21
e7845ac00851,2017-02-27,2017-03-15,2017-03-28
9172c3d50c4b,2017-02-25,2017-03-15,2017-03-27
7035674ab827,2017-03-03,2017-03-15,2017-03-28
cdb6cce2c1ca,2017-02-24,2017-03-15,2017-03-26
07d71435e933,2017-03-12,2017-03-15,2017-03-28
247ace709bc9,2017-03-20,2017-03-20,2017-03-28
ae47bb0cea8a,2017-02-19,2017-03-15,2017-03-21
ea17ac3605f6,2017-03-02,2017-03-15,2017-03-28
ffd0ec8ac024,2017-03-14,2017-03-15,2017-03-28
88f97ef30f09,2017-03-09,2017-03-15,2017-03-28
f4dcb943bc97,2017-03-18,2017-03-18,2017-03-28
c7fadf7e55e6,2017-03-04,2017-03-15,2017-03-28
cae51d8858b1,2017-03-01,2017-03-15,2017-03-28
bf1d7055777b,2017-02-14,2017-03-15,2017-03-16
4a92e2ba485e,2017-02-21,2017-03-15,2017-03-23
c1ad5347a98b,2017-03-05,2017-03-15,2017-03-28
7d3d9823b2c5,2017-03-21,2017-03-21,2017-03-28
6f2993e65e37,2017-03-02,2017-03-15,2017-03-28
0db2eb842aae,2017-03-13,2017-03-15,2017-03-28
ae21f2f45e4c,2017-02-16,2017-03-15,2017-03-18
d88d46c3dded,2017-03-15,2017-03-15,2017-03-28
1f624f0f388e,2017-03-12,2017-03-15,2017-03-28
6d429da5b111,2017-03-14,2017-03-15,2017-03-19
6271b18923df,2017-02-27,2017-03-15,2017-03-28
391ee842e1ba,2017-03-24,2017-03-24,2017-03-28
4ebdc97f211f,2017-03-24,2017-03-24,2017-03-28
b617d8fabbde,2017-03-17,2017-03-17,2017-03-28
46f15a3631b1,2017-03-19,2017-03-19,2017-03-25
881cdc4de8cf,2017-03-11,2017-03-15,2017-03-28
87a5d2774a52,2017-03-04,2017-03-15,2017-03-28
fb2ce43d0518,2017-02-22,2017-03-15,2017-03-23
1111cf10d63d,2017-03-13,2017-03-15,2017-03-28
9b0629dc7a01,2017-03-19,2017-03-19,2017-03-28
99ea7582f75c,2017-03-13,2017-03-15,2017-03-28
c0b12287495d,2017-02-25,2017-03-15,2017-03-27
2698c55a1bb3,2017-03-18,2017-03-18,2017-03-28
3a6b47e0652c,2017-02-15,2017-03-15,2017-03-16
1aedd3416b14,2017-02-14,2017-03-15,2017-03-15
09650913d22c,2017-03-14,2017-03-15,2017-03-28
f9c104221988,2017-03-10,2017-03-15,2017-03-28
fbaeb9ad845c,2017-03-27,2017-03-27,2017-03-28
4c7084deb660,2017-03-06,2017-03-15,2017-03-28
73dcced301f3,2017-03-17,2017-03-17,2017-03-28
f45fbbab79da,2017-03-16,2017-03-16,2017-03-28
6dc43d3cf24d,2017-02-28,2017-03-15,2017-03-28
31575584186c,2017-02-23,2017-03-15,2017-03-25
89a41ae8e2d3,2017-03-14,2017-03-15,2017-03-28
41dba404cc94,2017-02-20,2017-03-15,2017-03-22
3ea11f3e3503,2017-03-14,2017-03-15,2017-03-25
cd4349d4ac7d,2017-03-08,2017-03-15,2017-03-28
c4d0a692315a,2017-03-01,2017-03-15,2017-03-28
96a374b6dca4,2017-02-28,2017-03-15,2017-03-28
1d9f5ffaf7e3,2017-03-17,2017-03-17,2017-03-28
f8323486df81,2017-03-07,2017-03-15,2017-03-28
767797d02624,2017-03-01,2017-03-15,2017-03-28
be63c0e81e18,2017-02-19,2017-03-15,2017-03-21
8f92f6d15449,2017-02-28,2017-03-15,2017-03-28
3b87ceebb1f9,2017-02-23,2017-03-15,2017-03-25
4ea7ee89801d,2017-03-10,2017-03-15,2017-03-28
a9a55b349d72,2017-03-07,2017-03-15,2017-03-28
e74f00a31992,2017-03-24,2017-03-24,2017-03-28
a013670380e6,2017-02-24,2017-03-15,2017-03-22
e47bc97c49b4,2017-03-26,2017-03-26,2017-03-28
539ebcfce06d,2017-03-10,2017-03-15,2017-03-28
856ca82b680c,2017-02-26,2017-03-15,2017-03-27
4c735d4285f0,2017-02-15,2017-03-15,2017-03-17
6537f88b9214,2017-03-25,2017-03-25,2017-03-28
ac52c85333ff,2017-02-26,2017-03-15,2017-03-28
39c9593b40af,2017-02-17,2017-03-15,2017-03-19
98ab85e3f73b,2017-02-21,2017-03-15,2017-03-22
9b16f8110c70,2017-03-12,2017-03-15,2017-03-28
d8b5533a6266,2017-03-14,2017-03-15,2017-03-28
98aa52e81e7e,2017-03-05,2017-03-15,2017-03-28
25ad62f763cb,2017-03-08,2017-03-15,2017-03-28
028a3ba34ff3,2017-02-19,2017-03-15,2017-03-21
49ff3b582cdc,2017-03-14,2017-03-15,2017-03-28
ae43cc479c61,2017-02-16,2017-03-15,2017-03-18
1bca2fd5268d,2017-03-14,2017-03-15,2017-03-28
